Search_method Problem Max_evals Run Score
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 5 3663
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 6 -3213
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 7 3619
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 8 3637
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 9 3637
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 10 -3015
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 11 3611
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 12 -3156
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 13 -3039
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 14 -3486
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 15 3620
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 16 3663
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 17 -3210
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 18 3628
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 19 3610
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 20 3637
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 21 3566
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 22 -3192
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 23 -3441
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 24 -3756
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 25 3584
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 26 3663
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 27 -3780
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 28 -2898
random_restart_hill_climber_penalized_score knapPI_13_200_1000_4 1000 29 3567
random_restart_hill_climber_penalized_score knapPI_16_200_1000_4 1000 0 10720
random_restart_hill_climber_penalized_score knapPI_16_200_1000_4 1000 1 9996
